TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
41039.77	INIZIO IMMAGINI : IMMAGINE 10
41054.653		505.0	393.0	1	499.0	385.0	1	502	389	2.5856	1	2.4673	1
41071.397		499.0	395.0	1	481.0	422.0	1	490	408	2.5668	1	2.5174	1
41087.715		494.0	405.0	1	454.0	515.0	1	474	460	2.5577	1	2.752	1
41104.863		490.0	411.0	1	512.0	361.0	1	501	386	2.5468	1	2.5191	1
41121.239		493.0	384.0	1	516.0	351.0	1	504	367	2.546	1	2.442	1
41138.407		489.0	375.0	1	515.0	351.0	1	502	363	2.5541	1	2.4636	1
41154.603		495.0	378.0	1	503.0	365.0	1	499	371	2.5474	1	2.4612	1
41171.411		506.0	379.0	1	498.0	366.0	1	502	372	2.559	1	2.4544	1
41187.809		495.0	381.0	1	496.0	379.0	1	496	380	2.5578	1	2.4713	1
41204.651		488.0	392.0	1	500.0	380.0	1	494	386	2.5568	1	2.4612	1
41221.249		493.0	397.0	1	502.0	371.0	1	498	384	2.5598	1	2.4543	1
41238.107		498.0	389.0	1	497.0	381.0	1	498	385	2.5563	1	2.4747	1
41254.453		496.0	388.0	1	499.0	382.0	1	498	385	2.5538	1	2.4685	1
41271.368		493.0	390.0	1	507.0	401.0	1	500	395	2.5465	1	2.4755	1
41287.664		500.0	393.0	1	511.0	414.0	1	506	403	2.5487	1	2.4849	1
41304.593		507.0	389.0	1	479.0	326.0	1	493	357	2.4975	1	2.4561	1
41321.058		354.0	245.0	1	392.0	233.0	1	373	239	2.5179	1	2.4926	1
41338.103		357.0	244.0	1	374.0	254.0	1	366	249	2.5533	1	2.5229	1
41354.388		362.0	238.0	1	367.0	246.0	1	364	242	2.5443	1	2.5135	1
41371.28		369.0	244.0	1	371.0	253.0	1	370	248	2.5247	1	2.4994	1
41387.702		366.0	255.0	1	375.0	273.0	1	370	264	2.4913	1	2.4634	1
41404.58		363.0	272.0	1	370.0	263.0	1	366	267	2.4618	1	2.4323	1
